情境与问题,男,202,4.0363,,・68692,,
,,,,3.989,,1.502,0.134
,女,187,3.9376,,0.60189,,
知识与技能,男,202,4.1436,,0.63242,,
,,,,4.071,,2.513,0.012
,女,187,3.9929,,0.54974,,
思维与表达,男,202,4.0264,,0.60161,,
,,,,3.894,,4.55,0
,女,187,3.7504,,0.59327,,
交流与反思,男,202,3.962,,0.66848,,
,,,,3.841,,4.085,0
,女,187,3.7112,,0.53973,,
情境与问题,男,202,3.8779,,0.69544,,
,,,,3.714,,5.233,0
,女,187,3.5365,,0.58989,,
知识与技能,男,202,3.9884,,0.72267,,
,,,,3.878,,3.508,0.001
,女,187,3.7594,,0.56031,,
思维与表达,男,202,3.5314,,0.66613,,
,,,,3.431,,3.304,0.001
,女,187,3.3226,,0.57932,,
交流与反思,男,202,"37,624",,0.6844,,
,,,,3.655,,3.392,0.001
,女,187,3.5383,,0.61263,,
